iter	Passed	Remaining
251	59982	59030
252	60195	58768
253	60421	58518
254	60654	58276
255	60867	58014
256	61078	57751
257	61288	57487
258	61553	57275
259	61840	57083
260	62049	56819
261	62276	56571
262	62517	56337
263	62749	56094
264	62978	55848
265	63221	55616
266	63420	55344
267	63619	55073
268	63815	54800
269	64024	54539
270	64227	54273
271	64430	54007
272	64633	53742
273	64830	53473
274	65030	53206
275	65238	52947
276	65472	52708
277	65714	52477
278	66016	52292
279	66244	52049
280	66468	51802
281	66668	51538
282	66868	51273
283	67069	51010
284	67272	50749
285	67475	50488
286	67690	50237
287	67889	49974
288	68089	49712
289	68287	49449
290	68488	49189
291	68692	48931
292	68891	48670
293	69093	48412
294	69292	48152
295	69493	47893
296	69696	47637
297	69898	47380
298	70114	47133
299	70338	46892
300	70551	46643
301	70753	46387
302	70953	46131
303	71152	45874
304	71354	45620
305	71556	45366
306	71756	45110
307	71957	44856
308	72159	44603
309	72359	44349
310	72559	44095
311	72757	43841
312	72959	43589
313	73159	43336
314	73358	43083
315	73566	42836
316	73769	42586
317	73970	42335
318	74173	42086
319	74385	41841
320	74603	41601
321	74801	41349
322	75003	41100
323	75201	40850
324	75486	40646
325	75684	40396
326	75883	40146
327	76083	39897
328	76284	39649
329	76484	39401
330	76684	39153
331	76882	38904
332	77082	38657
333	77282	38409
334	77487	38165
335	77698	37924
336	77897	37677
337	78098	37431
338	78297	37185
339	78495	36939
340	78710	36700
341	78929	36464
342	79134	36221
343	79344	35981
344	79548	35739
345	79754	35497
346	79959	35255
347	80173	35018
348	80375	34775
349	80575	34532
350	80775	34289
351	80979	34048
352	81181	33806
353	81381	33564
354	81583	33322
355	81796	33086
356	82017	32852
357	82227	32615
358	82459	32386
359	82661	32146
360	82883	31913
361	83108	31682
362	83329	31449
363	83558	31219
364	83763	30980
365	84011	30758
366	84213	30518
367	84435	30286
368	84709	30073
369	84905	29831
370	85122	29597
371	85323	29358
372	85525	29119
373	85769	28895
374	86000	28666
375	86198	28427
376	86395	28187
377	86595	27948
378	86789	27708
379	86984	27468
380	87190	27232
381	87438	27009
382	87656	26777
383	87858	26540
384	88061	26303
385	88260	26066
386	88470	25832
387	88682	25599
388	88901	25367
389	89134	25140
390	89364	24912
391	89571	24677
392	89793	24447
393	90037	24223
394	90307	24005
395	90526	23774
396	90725	23538
397	90918	23300
398	91109	23062
399	91299	22824
400	91493	22588
401	91709	22357
402	91907	22121
403	92098	21884
404	92290	21648
405	92482	21412
406	92677	21176
407	92887	20945
408	93141	20723
409	93373	20496
410	93605	20269
411	93831	20041
412	94033	19808
413	94249	19578
414	94497	19354
415	94702	19122
416	94902	18889
417	95102	18656
418	95298	18422
419	95496	18189
420	95689	17955
421	95915	17728
422	96146	17501
423	96362	17272
424	96579	17043
425	96804	16815
426	97017	16586
427	97213	16353
428	97432	16125
429	97658	15897
430	97878	15669
431	98124	15445
432	98352	15218
433	98573	14990
434	98781	14760
435	98991	14530
436	99200	14301
437	99419	14073
438	99620	13842
439	99821	13612
440	100034	13383
441	100281	13159
442	100494	12930
443	100743	12706
444	100958	12478
445	101160	12248
446	101364	12018
447	101588	11791
448	101808	11564
449	102028	11336
450	102247	11108
451	102476	10882
452	102677	10653
453	102888	10424
454	103091	10195
455	103292	9966
456	103521	9740
457	103753	9514
458	103973	9287
459	104191	9060
460	104476	8838
461	104728	8614
462	104968	8388
463	105195	8161
464	105390	7932
465	105585	7703
466	105782	7475
467	105975	7246
468	106183	7018
469	106395	6791
470	106677	6568
471	106903	6341
472	107136	6115
473	107376	5889
474	107634	5664
475	107850	5437
476	108058	5210
477	108268	4983
478	108503	4756
479	108719	4529
480	108941	4303
481	109166	4076
482	109391	3850
483	109591	3622
484	109793	3395
485	109992	3168
486	110204	2941
487	110412	2715
488	110624	2488
489	110829	2261
490	111087	2036
491	111294	1809
492	111497	1583
493	111705	1356
494	111913	1130
495	112120	904
496	112325	678
497	112525	451
498	112728	225
499	112934	0
