iter	MultiClass
0	2.538406513
1	2.509216152
2	2.484677508
3	2.461286647
4	2.43194635
5	2.401939405
6	2.379236906
7	2.357612062
8	2.336533889
9	2.313004244
10	2.291269174
11	2.269672408
12	2.248433192
13	2.222749394
14	2.197135525
15	2.174512687
16	2.155056752
17	2.133228072
18	2.111150527
19	2.090183789
20	2.068459934
21	2.050417609
22	2.02973881
23	2.008647862
24	1.988710585
25	1.96844956
26	1.949292581
27	1.928196403
28	1.910954038
29	1.892583465
30	1.87506622
31	1.859206965
32	1.841958483
33	1.824278926
34	1.806861907
35	1.789864139
36	1.772904104
37	1.75704958
38	1.74208637
39	1.724537055
40	1.70974683
41	1.694390445
42	1.678292529
43	1.664319377
44	1.649677063
45	1.635204308
46	1.62117739
47	1.607414924
48	1.593122962
49	1.579699001
50	1.565894702
51	1.550914085
52	1.53669506
53	1.523791821
54	1.510113586
55	1.497885886
56	1.484886846
57	1.471788505
58	1.459094922
59	1.446743023
60	1.43396277
61	1.421961218
62	1.411168873
63	1.398792871
64	1.387600511
65	1.375308034
66	1.364444987
67	1.352637749
68	1.342051297
69	1.330506717
70	1.319564964
71	1.308206532
72	1.297167061
73	1.286416312
74	1.275185968
75	1.264936014
76	1.254882664
77	1.244889673
78	1.233966895
79	1.224278253
80	1.214784263
81	1.204863197
82	1.196112012
83	1.186782288
84	1.177357343
85	1.167776286
86	1.158628329
87	1.149449417
88	1.140067244
89	1.131263748
90	1.122116686
91	1.113569799
92	1.105006065
93	1.096028107
94	1.087266017
95	1.079042111
96	1.070830424
97	1.063133725
98	1.055041877
99	1.047053255
100	1.039019939
101	1.030702572
102	1.02288306
103	1.0149493
104	1.007466264
105	1.0002751
106	0.9929417757
107	0.9850334765
108	0.9774712813
109	0.9701934618
110	0.9628403158
111	0.955852622
112	0.9483158454
113	0.940851255
114	0.9339121069
115	0.9268246688
116	0.9204854679
117	0.9139428805
118	0.9077510525
119	0.9016676688
120	0.8946549003
121	0.8879542387
122	0.8813676913
123	0.874774262
124	0.868249455
125	0.8622399612
126	0.8563058567
127	0.8499417686
128	0.8438909063
129	0.8379782056
130	0.8322307302
131	0.826482661
132	0.8203621049
133	0.8146252654
134	0.8090046238
135	0.8033775611
136	0.7978861316
137	0.7920525851
138	0.7864922088
139	0.7811118594
140	0.7756637836
141	0.7701510614
142	0.76457169
143	0.7593967211
144	0.7542037036
145	0.7489429731
146	0.7439678198
147	0.7390433722
148	0.7341755983
149	0.7293301899
150	0.7241732076
151	0.7194644067
152	0.7144232287
153	0.7095661878
154	0.704850548
155	0.6999028212
156	0.695297604
157	0.6908147018
158	0.6865162752
159	0.6819081545
160	0.6772830556
161	0.6728853976
162	0.6684260258
163	0.663993276
164	0.6597118855
165	0.6551494629
166	0.6506293546
167	0.6462675601
168	0.6419322559
169	0.6375681034
170	0.6335434731
171	0.6292705126
172	0.625015826
173	0.6210643029
174	0.6169447821
175	0.6129642701
176	0.6089461713
177	0.604930114
178	0.6010492539
179	0.5971429624
180	0.5933119674
181	0.5891659616
182	0.5854004923
183	0.5814205009
184	0.5778138848
185	0.5741918963
186	0.5703654339
187	0.5668909356
188	0.5631867119
189	0.5595087178
190	0.5558879977
191	0.552291349
